nombre,categoria,sub_categoria,imagen,calificacion,precio_descuento,precio_actual,id_producto
boAt bassheads 105 Wired in Ear Earphones with Mic (Green),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51wlAzvx9SS._AC_UL320_.jpg,4.0,449.0,999.0,26
"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71PwFQgur4L._AC_UL320_.jpg,4.4,186.0,225.0,27
"Duracell USB Type C, 3A Braided Sync & Fast Charging Cable, 3.9 Ft (1.2M), QC 2.0/3.0 Ultra Fast Charging, Compatible with...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71sMR4yd6UL._AC_UL320_.jpg,4.3,368.0,699.0,28
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (G...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51CvP9P2efL._AC_UL320_.jpg,4.3,129.0,339.0,29
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devi...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ZeHF2Cf4L._AC_UL320_.jpg,4.0,199.0,299.0,30
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ctu8Z759L._AC_UL320_.jpg,4.0,139.0,499.0,31
"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61gd9kbUlWL._AC_UL320_.jpg,4.5,199.0,599.0,32
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31IvNJZnmdL._AC_UL320_.jpg,3.9,199.0,999.0,33
"Mi Type C 3Amp 100cm Fast Charge Cable Black|USB to Type C|Supports Upto 22.5W Fast Charging|Suitable for All Smartphones,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71xuP3mbiRL._AC_UL320_.jpg,4.3,229.0,299.0,34
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61b91WUDxmL._AC_UL320_.jpg,4.2,299.0,799.0,35
Syska SSK-EBS-0402 ABS 4 Way Power Strip,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61o3mAnLhCL._AC_UL320_.jpg,4.0,449.0,470.0,36
Agaro Blaze USB 3.0 to USB Type C OTG Adapter,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51r2Jr76HaL._AC_UL320_.jpg,4.3,139.0,495.0,37
"Duracell Ultra Alkaline AA Batteries, pack of 8","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Ms28fTZnL._AC_UL320_.jpg,4.5,299.0,315.01,38
"JK Easy Copier Paper | A4 Size | 70 GSM | 500 Sheets | White Paper, 1 Ream | For Laserjet & Inkjet Printer | Fast Drying |...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61mZmkv9-UL._AC_UL320_.jpg,4.3,325.0,345.0,39
"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51mW4YZ7wXL._AC_UL320_.jpg,3.9,99.0,666.66,40
Canon PG-47 Ink Cartridge (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61xYkbf9BVL._AC_UL320_.jpg,4.2,667.0,702.0,41
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61l+14s5QVL._AC_UL320_.jpg,4.1,399.0,999.0,42
realme Buds 2 Neo Wired in Ear Earphones with Mic (Blue),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61j+X6LPhaS._AC_UL320_.jpg,4.2,499.0,599.0,43
GIZGA ESSENTIALS Spiral Charger Cable Protector (Set of 10) (G55),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61w9XoA1edL._AC_UL320_.jpg,4.2,79.0,299.0,44
"Duracell Ultra Alkaline AA Battery, 4 Pcs","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71WD0-ASu7L._AC_UL320_.jpg,4.5,160.0,190.0,45
"Mi Xiaomi 22.5W Fast USB Type C Charger Combo|Compatible for Mobile,Power Banks|Fast Charging|(Adapter + USB to Type C Cab...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51X8GzoDlYL._AC_UL320_.jpg,4.2,649.0,999.0,46
"Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51nzIs6jTCL._AC_UL320_.jpg,4.0,199.0,799.0,47
"Havells 240V 6A Four-Way 1440W Extension Board With Wire (White)- 1.5 Metre Cable, 10 Volt, 4 Universal sockets with Maste...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/710y-ydbeUL._AC_UL320_.jpg,4.3,425.0,708.0,48
"STRIFF Laptop Tabletop Stand, Fold-Up, Adjustable, Ventilated, Portable Holder For Desk, Aluminum Foldable Laptop Ergonomi...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61sbnriokCL._AC_UL320_.jpg,4.1,449.0,999.0,49
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/512x0VZ9ZaL._AC_UL320_.jpg,3.9,399.0,999.0,50
"Beetel B26 Corded Slim Landline Phone,Ringer Volume Control,Wall/Desk Mountable,Ringer On/Off Switch,Clear Call Quality,Co...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71-6tQ9kpuL._AC_UL320_.jpg,3.9,549.0,749.0,51
"SWAPKART Flexible Mobile Tabletop Stand, Metal Built, Heavy Duty Foldable Lazy Bracket Clip Mount Multi Angle Clamp for Al...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71qLw4ghxwL._AC_UL320_.jpg,3.8,251.0,999.0,52
"STRIFF Multi Angle Mobile Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable,Foldable Ce...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51npgZqnt4L._AC_UL320_.jpg,4.3,119.0,499.0,53
Zebronics Zeb-Companion 107 USB Wireless Keyboard and Mouse Set with Nano Receiver (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61OQT49xFjS._AC_UL320_.jpg,3.5,699.0,999.0,54
Lapster USB all types smartwatch charger cable for boat watch charger & boat xtend watch charger & boat storm watch charge...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51c3oYvNwIL._AC_UL320_.jpg,3.4,113.0,999.0,55
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51PyI5qRSwS._AC_UL320_.jpg,4.0,449.0,999.0,56
Eveready 1015 Carbon Zinc AA Battery - 10 Pieces,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71V7PL+pmtL._AC_UL320_.jpg,4.4,149.0,180.0,57
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81GYTkbBuXL._AC_UL320_.jpg,3.9,329.0,999.0,58
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81hft+H1HHL._AC_UL320_.jpg,3.9,329.0,999.0,59
Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81tioCUVf4L._AC_UL320_.jpg,4.3,399.0,549.0,60
"Zebronics ZEB-90HB USB Hub, 4 Ports, Pocket Sized, Plug & Play, for Laptop & Computers","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51d89fbFgKL._AC_UL320_.jpg,3.4,179.0,499.0,61
"Gizga Essentials Professional 3-in-1 Cleaning Kit for Camera, Lens, Binocular, Laptop, TV, Monitor, Smartphone, Tablet (In...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81mP6za2sRL._AC_UL320_.jpg,4.2,249.0,499.0,62
"HP 150 Wireless USB Mouse with Ergonomic and ambidextrous Design, 1600 DPI Optical Tracking, 2.4 GHz Wireless connectivit...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/616NPYYloKL._AC_UL320_.jpg,4.0,549.0,899.0,63
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Fun...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81U3kN9bf1L._AC_UL320_.jpg,3.9,499.0,999.0,64
Inefable ( 12 Pcs ) Multicoloured Protection Spiral Cable & Wire Protectors Spring Wire for All Wired Accessories for USB ...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61Id7jCLssL._AC_UL320_.jpg,3.8,79.0,399.0,65
Duracell Chhota Power AA Battery Set of 10 Pcs,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/617bDCHC5AL._AC_UL320_.jpg,4.4,188.0,220.0,66
"tizum HDMI to VGA Adapter/ Connector/ Converter Cable 1080P (Male to Female) for Media Players, Xbox, Projector, Computer,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61F4szMc-gL._AC_UL320_.jpg,3.7,259.0,499.0,67
"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Whe...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51Kh5lN0h3L._AC_UL320_.jpg,4.4,284.0,590.0,68
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible w...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61e61vCPY6L._AC_UL320_.jpg,4.2,499.0,999.0,69
"LAPSTER 12pcs Spiral Cable Protectors for Charger, Wires, Data Charger Cable Protector for Computers, Cell Phones etc.(Grey)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/616xqxK4CTL._AC_UL320_.jpg,4.2,70.0,999.0,70
"TP-Link USB Bluetooth Adapter for PC, 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for Desktop, Lapt...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71yKtk9XHGL._AC_UL320_.jpg,4.3,599.0,899.0,71
Tizum Mouse Pad - Computer Mouse Mat with Anti-Slip Rubber Base & Smooth Mouse Control with Spill-Resistant Surface for La...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81ha67yYQuL._AC_UL320_.jpg,4.4,149.0,299.0,72
"Omron MC 246 Digital Thermometer With Quick Measurement of Oral & Underarm Temperature in Celsius & Fahrenheit, Water Resi...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41f6znHsZ5L._AC_UL320_.jpg,4.1,239.0,275.0,73
SUPER TOY 8.5 Inch LCD Writing Tablet E-Notepad Ruff Pad (Multicolor),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61J3so-DN3L._AC_UL320_.jpg,3.8,249.0,799.0,74
Epson 003 65 ml for EcoTank L1110/L3100/L3101/L3110/L3115/L3116/L3150/L3151/L3152/L3156/L5190 Black Ink Bottle,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/711Ms03na1L._AC_UL320_.jpg,4.4,309.0,404.0,75
"DIGITEK® (DTR 260 GT) Gorilla Tripod/Mini 33 CM (13 Inch) Tripod for Mobile Phone with Phone Mount & Remote, Flexible Gori...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61wjRpSAYGL._AC_UL320_.jpg,3.9,399.0,995.0,76
Sounce Shutter Remote Control with Bluetooth Wireless Technology - Create Amazing Photos and Videos Hands-Free - Works wit...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41ArVgmpKSS._AC_UL320_.jpg,4.4,169.0,999.0,77
"Ambrane Mobile Holding Tabletop Stand, 180 Perfect View, Height Adjustment, Wide Compatibility, Multipurpose, Anti-Skid De...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71fyGq6C0YL._AC_UL320_.jpg,4.2,199.0,499.0,78
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Sm...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61K4s3RQTrL._AC_UL320_.jpg,4.0,199.0,499.0,79
"Lapster USB all types smartwatch charger cable for Boat Xtend,boat storm, W26 W26+ W26m W55+, Noise ColorFit Pulse, Colorf...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51c3oYvNwIL._AC_UL320_.jpg,3.7,178.0,999.0,80
Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71KgfM+OdvL._AC_UL320_.jpg,4.3,399.0,499.0,81
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Green),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51hf-Hst0aS._AC_UL320_.jpg,4.1,399.0,999.0,82
"ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless Mouse with up to 1600 DPI, Power Saving Mode, Nano Receiver and Plu...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61ZlwXsG7nL._AC_UL320_.jpg,3.5,299.0,449.0,83
"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51HN96FHhHL._AC_UL320_.jpg,4.1,499.0,599.0,84
Cello Bling Pastel Ball Pen | Blue Ball Pen | Jar of 25 Units | Best Ball Pens for Smooth Writing | Ball Point Pen Set | P...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81DGck3xD7L._AC_UL320_.jpg,4.0,125.0,150.0,85
Logitech H111 Wired On Ear Headphones With Mic Black,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61HBpQuLjVL._AC_UL320_.jpg,4.0,745.0,795.0,86
AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61E+Sz0OooL._AC_UL320_.jpg,4.2,159.0,295.0,87
HP Wireless Mouse 250/2.4 GHz Wireless USB connectivity/12 Months Battery Life/LED Optical Sensor/ 1600 DPI/3 Years Warran...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51ipgrRGu1L._AC_UL320_.jpg,4.3,699.0,999.0,88
Goldmedal Curve Plus 202042 Plastic Spice 3-Pin 240V Universal Travel Adaptor (White),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41lVG7lmieL._AC_UL320_.jpg,4.5,99.0,171.0,89
Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earph...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/618U3WubKhL._AC_UL320_.jpg,4.1,99.0,999.0,90
"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61hzuoXwjqL._AC_UL320_.jpg,4.3,269.0,375.0,91
"USB Charger, Oraimo Elite Dual Port 5V/2.4A Wall Charger, USB Wall Charger Adapter for iPhone 11/Xs/XS Max/XR/X/8/7/6/Plu...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51PU2R0hdXL._AC_UL320_.jpg,4.0,249.0,649.0,92
Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61jovxIQplL._AC_UL320_.jpg,3.6,150.0,399.0,93
"Juarez JRZ250 One Handed Trigger Guitar Metal Capo Quick Change For Ukulele, Electric And Acoustic Guitars, Black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71rEeRq9oyL._AC_UL320_.jpg,4.3,130.0,990.0,94
HP 680 Tri-color Original Ink Advantage Cartridge,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/711dC+rtdpL._AC_UL320_.jpg,4.2,758.0,886.0,95
boAt Bassheads 220 Wired in Ear Earphones(Indi Lime),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sgEDKoIZL._AC_UL320_.jpg,4.1,399.0,999.0,96
"Portronics Clamp M2 Adjustable Car Mobile Phone Holder Stand, 360° Rotational, Strong Suction Cup, Compatible with 4 to 6 ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41H7NUu+b4L._AC_UL320_.jpg,4.1,649.0,899.0,97
"STRIFF Webcam Cover Slide, Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet (Pack of ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61207YCPVlS._AC_UL320_.jpg,4.2,79.0,499.0,98
MYVN WARP/Dash Charging Type c Charging Adapter Cable Compatible for One Plus 8T 8 8pro 7 Pro / 7T / 7T Pro Nord and Dash ...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71RWgTEUyrL._AC_UL320_.jpg,4.1,329.0,999.0,99
Syska 4 Way Power Plug Adapter (White) (1),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61EbWulahML._AC_UL320_.jpg,4.2,207.0,225.0,100
"Amazon Basics Magic Slate 8.5-inch LCD Writing Tablet with Stylus Pen, for Drawing, Playing, Noting by Kids & Adults, Black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Hyzq9D09L._AC_UL320_.jpg,4.0,309.0,999.0,101
Onsitego 1 year Extended Warranty for Small Appliances up to Rs 2500 (Email Delivery - No Physical Kit),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/714Z+9MuQCL._AC_UL320_.jpg,3.9,123.0,397.0,102
"Elv Foldable, Portable, Tablet / Phone Stand. Compatible Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi, Oppo,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713Q0lVmCTL._AC_UL320_.jpg,4.1,79.0,499.0,103
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other T...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61oLp+pYPxL._AC_UL320_.jpg,4.0,199.0,299.0,104
"Pidilite Rangeela Holi Ke Rang - 4 Fluorescent Shades of Holi Colours (Floro Pink, Floro Yellow, Floro Orange, Floro Gree...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61XwOVLs4xL._AC_UL320_.jpg,4.2,99.0,160.0,105
"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31+GLbqRPtL._AC_UL320_.jpg,4.2,449.0,499.0,106
